Waktu,Volume,Duration (us)
21:07:37,547.82,461
21:07:38,547.82,461
21:07:48,492.61,499
21:07:49,518.76,481
21:07:49,465,518
21:07:50,492.61,499
21:07:50,403.98,560
21:07:54,374.92,580
21:07:54,284.84,642
21:07:55,344.41,601
21:07:55,373.47,581
21:07:56,283.38,643
21:07:57,315.35,621
21:07:57,226.72,682
21:07:58,280.48,645
21:08:04,107.58,764
21:08:05,18.95,825
21:08:05,78.52,784
21:08:06,49.46,764
21:08:07,18.95,825
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
21:08:04,107.58,764
21:08:05,18.95,825
21:08:05,78.52,784
21:08:06,107.58,764
21:08:07,18.95,825
21:08:07,49.46,804
21:08:08,-40.62,866
21:08:08,-11.56,846
21:08:09,18.95,825
21:08:09,18.95,825
21:08:10,48.01,805
21:08:10,48.01,805
